dateID,dateisoformat,year,quarter,monthNumber,dayNumber,monthName,dayName,weekOfYear,weekOfMonth
20240101,2024-01-01T00:00:00,2024,1,1,1,January,Monday,00,1
20240102,2024-01-02T00:00:00,2024,1,1,2,January,Tuesday,00,1
20240103,2024-01-03T00:00:00,2024,1,1,3,January,Wednesday,00,1
20240104,2024-01-04T00:00:00,2024,1,1,4,January,Thursday,00,1
20240105,2024-01-05T00:00:00,2024,1,1,5,January,Friday,00,1
20240106,2024-01-06T00:00:00,2024,1,1,6,January,Saturday,00,1
20240107,2024-01-07T00:00:00,2024,1,1,7,January,Sunday,01,1
20240108,2024-01-08T00:00:00,2024,1,1,8,January,Monday,01,2
20240109,2024-01-09T00:00:00,2024,1,1,9,January,Tuesday,01,2
20240110,2024-01-10T00:00:00,2024,1,1,10,January,Wednesday,01,2
20240111,2024-01-11T00:00:00,2024,1,1,11,January,Thursday,01,2
20240112,2024-01-12T00:00:00,2024,1,1,12,January,Friday,01,2
20240113,2024-01-13T00:00:00,2024,1,1,13,January,Saturday,01,2
20240114,2024-01-14T00:00:00,2024,1,1,14,January,Sunday,02,2
20240115,2024-01-15T00:00:00,2024,1,1,15,January,Monday,02,3
20240116,2024-01-16T00:00:00,2024,1,1,16,January,Tuesday,02,3
20240117,2024-01-17T00:00:00,2024,1,1,17,January,Wednesday,02,3
20240118,2024-01-18T00:00:00,2024,1,1,18,January,Thursday,02,3
20240119,2024-01-19T00:00:00,2024,1,1,19,January,Friday,02,3
20240120,2024-01-20T00:00:00,2024,1,1,20,January,Saturday,02,3
20240121,2024-01-21T00:00:00,2024,1,1,21,January,Sunday,03,3
20240122,2024-01-22T00:00:00,2024,1,1,22,January,Monday,03,4
20240123,2024-01-23T00:00:00,2024,1,1,23,January,Tuesday,03,4
20240124,2024-01-24T00:00:00,2024,1,1,24,January,Wednesday,03,4
20240125,2024-01-25T00:00:00,2024,1,1,25,January,Thursday,03,4
20240126,2024-01-26T00:00:00,2024,1,1,26,January,Friday,03,4
20240127,2024-01-27T00:00:00,2024,1,1,27,January,Saturday,03,4
20240128,2024-01-28T00:00:00,2024,1,1,28,January,Sunday,04,4
20240129,2024-01-29T00:00:00,2024,1,1,29,January,Monday,04,5
20240130,2024-01-30T00:00:00,2024,1,1,30,January,Tuesday,04,5
20240131,2024-01-31T00:00:00,2024,1,1,31,January,Wednesday,04,5
20240201,2024-02-01T00:00:00,2024,1,2,1,February,Thursday,04,1
20240202,2024-02-02T00:00:00,2024,1,2,2,February,Friday,04,1
20240203,2024-02-03T00:00:00,2024,1,2,3,February,Saturday,04,1
20240204,2024-02-04T00:00:00,2024,1,2,4,February,Sunday,05,1
20240205,2024-02-05T00:00:00,2024,1,2,5,February,Monday,05,1
20240206,2024-02-06T00:00:00,2024,1,2,6,February,Tuesday,05,1
20240207,2024-02-07T00:00:00,2024,1,2,7,February,Wednesday,05,1
20240208,2024-02-08T00:00:00,2024,1,2,8,February,Thursday,05,2
20240209,2024-02-09T00:00:00,2024,1,2,9,February,Friday,05,2
20240210,2024-02-10T00:00:00,2024,1,2,10,February,Saturday,05,2
20240211,2024-02-11T00:00:00,2024,1,2,11,February,Sunday,06,2
20240212,2024-02-12T00:00:00,2024,1,2,12,February,Monday,06,2
20240213,2024-02-13T00:00:00,2024,1,2,13,February,Tuesday,06,2
20240214,2024-02-14T00:00:00,2024,1,2,14,February,Wednesday,06,2
20240215,2024-02-15T00:00:00,2024,1,2,15,February,Thursday,06,3
20240216,2024-02-16T00:00:00,2024,1,2,16,February,Friday,06,3
20240217,2024-02-17T00:00:00,2024,1,2,17,February,Saturday,06,3
20240218,2024-02-18T00:00:00,2024,1,2,18,February,Sunday,07,3
20240219,2024-02-19T00:00:00,2024,1,2,19,February,Monday,07,3
20240220,2024-02-20T00:00:00,2024,1,2,20,February,Tuesday,07,3
20240221,2024-02-21T00:00:00,2024,1,2,21,February,Wednesday,07,3
20240222,2024-02-22T00:00:00,2024,1,2,22,February,Thursday,07,4
20240223,2024-02-23T00:00:00,2024,1,2,23,February,Friday,07,4
20240224,2024-02-24T00:00:00,2024,1,2,24,February,Saturday,07,4
20240225,2024-02-25T00:00:00,2024,1,2,25,February,Sunday,08,4
20240226,2024-02-26T00:00:00,2024,1,2,26,February,Monday,08,4
20240227,2024-02-27T00:00:00,2024,1,2,27,February,Tuesday,08,4
20240228,2024-02-28T00:00:00,2024,1,2,28,February,Wednesday,08,4
20240229,2024-02-29T00:00:00,2024,1,2,29,February,Thursday,08,5
20240301,2024-03-01T00:00:00,2024,1,3,1,March,Friday,08,1
20240302,2024-03-02T00:00:00,2024,1,3,2,March,Saturday,08,1
20240303,2024-03-03T00:00:00,2024,1,3,3,March,Sunday,09,1
20240304,2024-03-04T00:00:00,2024,1,3,4,March,Monday,09,1
20240305,2024-03-05T00:00:00,2024,1,3,5,March,Tuesday,09,1
20240306,2024-03-06T00:00:00,2024,1,3,6,March,Wednesday,09,1
20240307,2024-03-07T00:00:00,2024,1,3,7,March,Thursday,09,1
20240308,2024-03-08T00:00:00,2024,1,3,8,March,Friday,09,2
20240309,2024-03-09T00:00:00,2024,1,3,9,March,Saturday,09,2
20240310,2024-03-10T00:00:00,2024,1,3,10,March,Sunday,10,2
20240311,2024-03-11T00:00:00,2024,1,3,11,March,Monday,10,2
20240312,2024-03-12T00:00:00,2024,1,3,12,March,Tuesday,10,2
20240313,2024-03-13T00:00:00,2024,1,3,13,March,Wednesday,10,2
20240314,2024-03-14T00:00:00,2024,1,3,14,March,Thursday,10,2
20240315,2024-03-15T00:00:00,2024,1,3,15,March,Friday,10,3
20240316,2024-03-16T00:00:00,2024,1,3,16,March,Saturday,10,3
20240317,2024-03-17T00:00:00,2024,1,3,17,March,Sunday,11,3
20240318,2024-03-18T00:00:00,2024,1,3,18,March,Monday,11,3
20240319,2024-03-19T00:00:00,2024,1,3,19,March,Tuesday,11,3
20240320,2024-03-20T00:00:00,2024,1,3,20,March,Wednesday,11,3
20240321,2024-03-21T00:00:00,2024,1,3,21,March,Thursday,11,3
20240322,2024-03-22T00:00:00,2024,1,3,22,March,Friday,11,4
20240323,2024-03-23T00:00:00,2024,1,3,23,March,Saturday,11,4
20240324,2024-03-24T00:00:00,2024,1,3,24,March,Sunday,12,4
20240325,2024-03-25T00:00:00,2024,1,3,25,March,Monday,12,4
20240326,2024-03-26T00:00:00,2024,1,3,26,March,Tuesday,12,4
20240327,2024-03-27T00:00:00,2024,1,3,27,March,Wednesday,12,4
20240328,2024-03-28T00:00:00,2024,1,3,28,March,Thursday,12,4
20240329,2024-03-29T00:00:00,2024,1,3,29,March,Friday,12,5
20240330,2024-03-30T00:00:00,2024,1,3,30,March,Saturday,12,5
20240331,2024-03-31T00:00:00,2024,1,3,31,March,Sunday,13,5
